design	catalog	replicate	zero_budget_mtime_yr	scheduler
bracewell4	hab2lo	0	7.015302	corrected
bracewell4	hab2lo	1	6.827635	corrected
bracewell4	hab2lo	2	7.123389	corrected
bracewell4	hab2lo	3	6.803427	corrected
bracewell4	hab2lo	4	7.127159	corrected
bracewell4	hab2lo	5	7.077603	corrected
bracewell4	hab2lo	6	7.217050	corrected
bracewell4	hab2lo	7	6.776387	corrected
bracewell4	hab2lo	8	6.732962	corrected
bracewell4	hab2lo	9	7.121645	corrected
bracewell4	hab2lo	10	7.257807	corrected
bracewell4	hab2lo	11	7.041608	corrected
bracewell4	hab2lo	12	6.808659	corrected
bracewell4	hab2lo	13	6.987518	corrected
